time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
3273891,0.99,0.38,-10.16,507
3274918,0.65,0.30,-9.97,507
3275945,0.80,0.79,-10.28,507
3276973,0.65,1.02,-10.16,507
3278000,0.28,0.19,-9.97,507
3279027,1.29,1.32,-12.40,507
3280054,0.62,0.11,-11.40,507
3281081,0.84,1.05,-10.97,507
3282108,0.80,0.79,-10.24,507
3283135,0.65,0.98,-10.86,507
3284162,0.50,1.13,-8.42,507
3285189,0.73,1.80,-11.09,507
3286222,0.84,0.72,-10.55,507
3287249,0.65,-0.11,-9.73,507
3288275,0.35,-0.19,-6.41,507
3289303,0.20,1.39,-10.16,507
3290330,1.14,0.26,-11.05,507
3291357,0.69,1.32,-12.71,507
3292384,0.95,-0.04,-8.53,507
3293411,1.51,-0.19,-12.71,507
3294438,0.80,1.84,-12.17,507
3295465,0.02,0.00,-11.71,507
3296507,-0.36,1.47,-11.24,507
3297534,1.18,0.08,-8.34,507
3298562,0.13,-0.26,-8.50,507
3299589,-0.62,1.05,-9.19,507
3300616,0.80,-0.15,-9.69,507
3301643,2.22,0.04,-11.17,507
3302670,1.40,1.43,-10.93,507
3303714,0.13,-0.22,-11.28,507
3304741,1.59,1.58,-11.67,507
3305768,0.88,0.04,-11.32,507
3306796,0.17,1.39,-10.86,507
3307834,0.28,1.02,-8.77,507
3308861,1.66,0.56,-10.86,507
3309888,1.36,0.94,-11.67,507
3310915,1.33,-0.37,-11.09,507
3311942,0.73,1.62,-10.78,507
3312969,0.69,0.94,-9.89,507
3313996,0.84,0.34,-9.73,507
3315023,1.18,1.28,-9.69,507
3316063,0.47,0.15,-9.42,507
3317090,0.73,0.11,-9.08,507
3318117,0.99,1.39,-11.44,507
3319144,0.69,0.87,-11.67,507
3320171,0.73,1.13,-11.36,507
3321197,0.69,0.94,-11.48,507
3322230,0.88,1.02,-12.06,507
3323257,0.65,0.94,-9.89,507
3324284,0.99,0.08,-8.84,507
3325312,1.06,0.45,-9.46,507
3326339,0.84,-0.56,-10.74,507
3327366,0.91,0.56,-10.93,507
3328393,0.28,1.05,-11.20,507
3329420,0.91,0.60,-12.33,507
3330447,0.58,1.58,-11.75,507
3331474,0.58,0.08,-8.57,507
3332500,0.76,1.39,-8.03,507
3333527,0.73,0.79,-12.09,507
3334554,2.07,0.15,-13.56,507
3335581,0.69,1.20,-9.54,507
3336608,0.17,1.39,-8.69,507
3337635,0.62,0.08,-9.31,507
3338662,0.73,0.98,-10.43,507
3339696,0.95,0.56,-10.35,507
3340723,0.24,1.24,-10.59,507
3341750,2.48,0.08,-11.82,507
3342776,1.33,0.26,-9.85,507
3343803,1.66,1.73,-9.81,507
3344830,0.32,-0.37,-11.20,507
3345857,0.54,1.02,-10.93,507
3346884,0.65,1.77,-9.31,507
3347911,0.43,-0.11,-8.88,507
3348938,0.35,0.38,-10.04,507
3349965,0.69,1.32,-10.16,507
3350991,0.62,0.00,-10.82,507
3352018,0.73,0.87,-10.89,507
3353046,0.95,0.08,-11.32,507
3354073,0.95,0.34,-10.93,507
3355100,0.91,1.28,-10.43,507
3356127,1.14,0.15,-11.28,507
3357160,1.66,1.58,-15.42,507
3358187,1.33,1.13,-10.74,507
3359214,1.21,1.99,-10.55,507
3360240,1.25,0.38,-12.60,507
3361267,0.20,1.02,-11.55,507
3362294,-0.95,0.83,-9.23,507
3363321,1.06,-0.07,-11.51,507
3364348,1.40,0.60,-12.33,507
3365376,1.06,0.87,-10.39,507
3366403,2.00,-0.86,-11.48,507
3367430,1.77,1.80,-10.08,507
3368457,1.29,2.37,-11.13,507
3369484,-0.06,-1.46,-10.43,507
3370511,0.91,1.50,-10.86,507
3371538,0.88,0.83,-9.66,507
3372565,-0.02,0.68,-12.37,507
3373607,0.73,1.54,-9.73,507
3374641,1.70,0.45,-9.54,507
3375667,1.62,1.13,-12.02,507
3376694,0.17,1.39,-11.20,507
3377721,1.21,0.83,-11.01,507
3378748,0.54,1.09,-11.32,507
3379775,0.95,0.11,-10.12,507
3380813,1.47,1.17,-11.13,507
3381840,1.21,0.11,-10.28,507
3382867,0.73,0.87,-8.73,507
3383895,1.51,1.05,-12.02,507
3384922,-0.21,0.00,-11.67,507
3385948,0.91,1.09,-10.08,507
3386975,0.88,0.00,-8.53,507
3388002,1.06,0.68,-10.89,507
3389029,0.62,0.08,-13.22,507
3390068,0.84,0.56,-9.69,507
3391095,0.54,-0.49,-8.07,507
3392141,0.88,1.05,-11.24,507
3393167,1.62,0.90,-13.76,507
3394194,1.62,0.56,-12.25,507
3395221,0.73,1.24,-9.81,507
3396248,0.80,0.90,-9.77,507
3397275,0.80,0.23,-8.30,507
3398302,0.62,1.39,-8.38,507
3399329,0.99,1.24,-10.51,507
3400356,1.44,0.64,-11.13,507
3401383,1.06,1.13,-11.05,507
3402411,0.43,0.83,-8.92,507
3403438,0.73,0.08,-8.80,507
3404464,0.39,0.94,-11.24,507
3405491,1.36,1.09,-11.94,507
3406518,1.03,0.08,-12.29,507
3407545,1.25,1.05,-12.13,507
3408572,0.62,1.17,-10.93,507
3409605,0.80,0.38,-9.62,507
3410632,1.14,0.04,-8.50,507
3411659,0.39,0.08,-6.44,507
3412686,0.02,0.30,-9.27,507
3413713,0.09,0.26,-9.46,507
3414740,0.58,0.53,-10.89,507
3415767,0.20,0.87,-12.13,507
3416794,1.14,0.26,-12.06,507
3417821,0.13,0.60,-11.01,507
3418848,0.32,1.02,-11.13,507
3419875,1.10,1.17,-9.89,507
3420902,0.91,-0.19,-9.50,507
3421929,0.65,0.30,-8.65,507
3422956,0.76,0.56,-8.50,507
3423982,0.69,0.04,-11.13,507
3425009,1.18,0.94,-13.26,507
3426036,0.62,-0.04,-10.59,507
3427063,0.62,1.13,-11.09,507
3428097,0.35,0.87,-9.73,507
3429124,0.84,0.79,-9.85,507
3430151,0.62,1.35,-8.73,507
3431178,0.50,1.39,-10.59,507
3432205,0.20,0.45,-10.89,507
3433231,0.58,0.75,-8.73,507
3434258,0.95,0.72,-10.35,507
3435285,1.03,0.64,-11.75,507
3436312,0.62,1.47,-11.78,507
3437339,0.69,0.75,-11.75,507
3438366,1.03,0.98,-10.97,507
3439393,0.17,0.19,-9.39,507
3440420,0.69,1.17,-9.85,507
3441446,1.44,0.64,-11.17,507
3442473,0.76,0.53,-10.82,507
3443501,0.84,0.15,-10.04,507
3444528,0.58,0.38,-9.11,507
3445578,0.17,0.56,-11.82,507
3446605,1.33,0.68,-11.71,507
3447632,0.65,0.68,-9.85,507
3448659,0.69,0.87,-9.77,507
3449687,0.65,0.11,-8.92,507
3450729,0.80,-0.04,-9.46,507
3451756,1.55,1.32,-12.48,507
3452783,0.43,-0.37,-9.81,507
3453809,0.20,0.00,-10.66,507
3454836,1.47,2.37,-11.51,507
3455863,0.88,0.41,-11.36,507
3456890,1.81,1.43,-14.61,507
3457929,0.73,-0.49,-9.54,507
3458956,0.76,0.04,-7.68,507
3459983,0.80,1.80,-11.71,507
3461010,1.33,0.68,-13.29,507
3462049,0.20,2.22,-11.55,507
3463081,2.07,-0.41,-10.43,507
3464109,0.50,1.95,-12.21,507
3465136,0.50,0.11,-10.82,507
3466163,1.70,0.75,-11.82,507
3467190,0.91,1.69,-9.69,507
3468217,-0.54,-0.11,-9.39,507
3469244,0.17,0.38,-11.09,507
3470271,1.29,0.30,-13.06,507
3471298,0.17,0.04,-9.62,507
3472324,0.17,1.77,-9.58,507
3473351,1.51,0.08,-12.95,507
3474378,0.73,1.28,-12.44,507
3475405,0.62,0.04,-8.57,507
3476444,0.76,2.14,-13.95,507
3477471,0.43,0.11,-9.69,507
3478498,0.65,0.08,-8.53,507
3479525,0.58,0.38,-12.06,507
3480558,0.73,0.75,-11.78,507
3481585,0.32,-0.64,-8.65,507
3482612,0.32,0.75,-11.40,507
3483638,1.36,0.90,-12.67,507
3484665,0.20,1.35,-13.33,507
3485692,0.69,1.02,-11.63,507
3486720,0.13,1.05,-9.39,507
3487747,0.24,1.24,-7.61,507
3488774,1.29,0.64,-10.24,507
3489801,1.21,0.04,-12.21,507
3490828,0.88,1.54,-10.97,507
3491855,0.35,-0.04,-7.33,507
3492881,0.99,0.41,-9.77,507
3493908,0.73,1.50,-11.20,507
3494935,0.88,0.15,-10.47,507
3495962,1.25,1.39,-10.93,507
3496989,0.88,0.00,-10.93,507
3498016,0.62,1.24,-10.97,507
3499049,0.76,0.75,-9.42,507
3500077,0.76,0.08,-11.59,507
3501103,0.69,1.50,-13.80,507
3502130,0.17,-0.26,-10.35,507
3503157,0.47,0.98,-8.38,507
3504184,1.06,2.22,-9.62,507
3505211,1.51,0.26,-14.57,507
3506238,0.24,2.33,-10.39,507
3507265,0.73,-0.19,-12.95,507
3508292,0.88,1.05,-12.79,507
3509319,0.80,-0.71,-9.19,507
3510345,1.44,1.32,-10.70,507
3511372,0.17,2.52,-9.42,507
3512399,1.18,-1.73,-12.52,507
3513426,0.62,2.48,-13.84,507
3514454,0.17,-0.45,-10.93,507
3515481,0.17,0.83,-9.81,507
3516514,0.54,0.64,-7.88,507
3517540,0.17,0.08,-7.72,507
3518567,0.69,0.08,-11.51,507
3519594,0.76,1.35,-12.13,507
3520621,-0.06,-0.75,-8.92,507
3521648,0.05,1.09,-9.31,507
3522675,1.74,0.53,-12.95,507
3523701,1.10,0.49,-12.95,507
3524728,1.40,0.87,-12.13,507
3525755,1.59,0.04,-10.62,508
3526782,1.77,2.18,-9.27,507
3527825,1.70,0.72,-8.57,507
3528852,2.48,-0.22,-10.35,507
3529879,0.47,1.58,-12.48,507
3530906,1.70,1.28,-11.98,507
3531933,2.00,-0.11,-8.46,507
3532960,1.89,0.72,-9.62,507
3534005,1.29,1.32,-11.90,507
3535044,1.55,0.60,-12.64,507
3536071,0.65,1.47,-11.71,507
3537097,-0.02,0.79,-9.11,507
3538124,0.13,0.83,-9.31,507
3539151,1.51,0.26,-12.21,507
3540178,-0.02,1.09,-10.97,507
3541206,0.20,0.30,-11.28,507
3542233,1.14,-0.04,-10.12,507
3543260,0.91,0.49,-10.82,507
3544286,1.51,1.09,-8.53,507
3545313,0.20,0.00,-7.30,507
3546340,0.73,0.15,-10.66,507
3547367,1.36,0.60,-12.67,507
3548394,0.24,1.50,-12.09,507
3549421,0.69,0.00,-10.93,507
3550448,0.13,1.58,-10.62,507
3551481,0.50,0.11,-9.97,507
3552507,0.76,0.79,-9.15,507
3553534,1.44,0.53,-11.17,507
3554562,0.99,0.83,-10.70,507
3555589,1.14,0.79,-9.35,507
3556616,0.76,0.11,-9.54,507
3557642,1.25,1.65,-11.55,507
3558669,1.03,0.49,-10.04,507
3559696,0.62,0.75,-10.31,507
3560735,0.17,0.87,-8.80,507
3561761,0.62,0.08,-10.70,507
3562788,0.91,1.05,-11.01,507
3563815,0.73,0.23,-11.78,507
3564843,0.76,0.23,-9.23,507
3565870,1.18,1.20,-12.29,507
3566896,0.76,0.08,-11.40,507
3567923,0.62,1.05,-9.85,507
3568956,1.40,1.13,-11.05,507
3569983,0.73,0.60,-10.93,507
3571010,0.99,1.05,-9.27,507
3572037,0.80,0.72,-9.04,507
3573063,1.62,1.39,-12.64,507
3574090,1.51,1.13,-11.36,507
3575117,1.44,1.17,-9.73,507
3576144,0.99,2.18,-12.17,507
3577171,0.95,0.08,-13.84,507
3578199,0.73,1.54,-10.78,507
3579226,0.88,0.15,-8.96,507
3580252,1.03,0.08,-11.98,507
3581279,0.84,0.83,-12.37,507
3582306,0.88,0.04,-13.14,507
3583333,1.44,0.53,-11.40,507
3584360,1.74,1.35,-15.50,507
3585386,1.66,-0.34,-14.42,507
3586420,0.39,1.35,-11.13,507
3587446,0.35,-0.79,-11.05,507
3588473,0.84,1.58,-11.75,507
3589500,0.69,-0.11,-10.24,507
3590528,0.39,0.26,-8.65,507
3591555,0.69,1.28,-10.12,507
3592582,1.62,-0.90,-13.72,507
3593608,0.13,1.77,-11.98,507
3594635,2.33,-0.15,-12.37,507
3595662,1.25,1.13,-9.19,507
3596689,0.99,1.05,-7.30,507
3597716,1.25,0.19,-11.09,507
3598743,0.65,0.00,-11.20,507
3599770,0.28,1.54,-9.77,507
3600796,0.95,-0.60,-10.97,507
3601823,1.92,1.35,-10.43,507
3602850,-0.62,-0.22,-10.93,507
3603884,1.10,0.56,-10.93,507
3604926,0.80,0.15,-12.83,507
3605953,1.55,1.09,-13.64,507
3606980,1.33,-0.45,-11.51,507
3608007,1.33,-0.15,-8.88,507
3609047,0.73,0.75,-5.98,507
3610073,0.73,1.24,-8.88,507
3611121,1.40,0.90,-11.01,507
3612148,1.14,0.45,-10.93,507
3613175,0.05,1.13,-10.47,507
3614201,0.17,-0.26,-8.53,507
3615228,0.24,0.53,-9.81,507
3616256,0.84,0.79,-9.42,507
3617283,0.84,0.08,-11.40,507
3618310,0.69,1.50,-12.98,507
3619336,0.32,0.00,-12.29,507
3620363,0.50,1.05,-9.93,507
3621390,0.62,0.15,-8.50,507
3622423,0.17,0.34,-9.23,507
3623450,1.21,1.73,-12.44,507
3624477,0.62,0.11,-11.24,507
3625504,1.55,1.35,-11.36,507
3626530,1.21,0.49,-10.86,507
3627557,0.91,1.02,-10.62,507
3628584,0.99,0.90,-9.58,507
3629612,0.84,0.94,-8.77,507
3630639,0.76,0.68,-6.99,507
3631665,1.18,0.49,-9.58,507
3632692,1.25,0.11,-11.32,507
3633719,1.40,1.13,-13.41,507
3634746,1.40,0.83,-11.51,507
3635773,1.25,0.75,-10.00,507
3636800,0.62,0.60,-10.31,507
3637826,0.17,1.20,-9.85,507
3638853,0.20,0.68,-6.95,507
3639885,0.20,-0.07,-9.97,507
3640912,-0.32,0.83,-11.32,507
3641939,2.03,0.41,-10.59,507
3642966,1.66,0.08,-9.08,507
3643993,1.55,0.30,-10.00,507
3645032,1.18,0.98,-11.01,507
3646059,0.73,0.08,-11.86,507
3647085,1.25,1.43,-11.36,507
3648112,0.84,0.19,-10.39,507
3649139,0.76,0.68,-10.20,507
3650166,0.84,0.90,-9.00,507
3651193,0.95,0.75,-13.99,507
3652220,1.18,1.20,-12.17,507
3653246,0.91,0.75,-10.55,507
3654274,0.54,0.94,-9.54,507
3655301,0.80,-0.04,-7.88,507
3656328,0.84,0.04,-9.04,507
3657359,0.58,-0.11,-9.54,507
3658385,0.43,0.08,-9.50,507
3659412,1.03,0.64,-10.97,507
3660439,1.18,0.08,-10.66,507
3661466,0.50,1.17,-11.36,507
3662493,0.76,0.45,-10.82,507
3663519,1.06,0.90,-11.78,507
3664546,0.99,0.41,-11.75,507
3665573,1.40,1.62,-12.79,507
3666600,1.81,0.41,-13.26,507
3667628,1.66,0.87,-11.90,507
3668654,1.03,0.90,-10.55,507
3669681,1.29,0.26,-8.34,507
3670708,1.66,1.35,-11.55,507
3671735,1.03,1.69,-10.24,507
3672762,1.40,-0.19,-13.91,507
3673789,0.54,-0.79,-13.87,507
3674821,0.80,1.84,-9.08,507
3675848,0.58,0.87,-6.91,507
3676875,0.05,-0.04,-8.15,507
3677902,1.47,1.13,-15.11,507
3678929,-0.77,-0.82,-13.33,507
3679958,0.91,1.43,-9.31,507
3680985,0.20,1.05,-6.48,507
3682027,2.41,0.26,-16.04,507
3683054,0.69,1.95,-13.33,507
3684093,1.44,-0.56,-8.84,507
3685121,0.84,1.24,-14.76,507
3686148,0.32,-0.04,-10.55,507
3687175,0.76,0.19,-8.88,507
3688213,0.17,1.20,-13.29,507
3689240,0.39,0.53,-12.44,507
3690267,1.74,1.28,-10.55,507
3691294,-0.39,1.69,-11.90,507
3692327,1.06,-0.26,-15.89,506
3693355,2.52,1.62,-13.29,507
3694382,0.13,-0.26,-8.80,507
3695409,-0.73,0.53,-7.22,507
3696436,1.74,1.13,-7.64,507
3697463,2.41,0.26,-10.47,507
3698490,1.21,0.30,-8.03,507
3699517,0.91,0.11,-10.04,507
3700544,0.32,0.23,-11.67,507
3701571,1.36,0.49,-11.55,507
3702598,0.50,-0.11,-9.08,507
3703625,0.17,0.79,-9.31,507
3704652,0.20,1.39,-10.70,507
3705679,1.21,0.11,-9.85,507
3706706,1.40,1.47,-10.70,507
3707734,0.84,0.75,-10.66,507
3708761,0.24,0.11,-9.11,507
3709794,0.35,1.13,-9.58,507
3710821,1.06,0.08,-10.89,507
3711848,1.14,2.03,-12.60,507
3712875,1.03,0.00,-10.82,507
3713902,0.91,0.60,-9.00,507
3714929,1.18,1.43,-8.88,507
3715956,1.55,0.83,-10.66,507
3716983,0.32,0.75,-11.40,507
3718010,1.06,1.24,-11.75,507
3719036,0.95,-0.26,-9.54,507
3720064,0.95,1.65,-10.12,507
3721092,0.91,0.38,-10.89,507
3722118,0.69,0.98,-11.78,507
3723145,1.55,1.35,-11.90,507
3724172,1.03,0.08,-10.59,507
3725199,0.58,1.39,-10.35,506
3726226,0.54,0.11,-11.13,506
3727253,1.59,0.83,-12.29,507
3728286,0.84,0.00,-12.37,507
3729326,0.88,0.15,-9.58,507
3730353,1.59,0.94,-11.09,506
3731380,0.39,2.26,-14.65,506
3732407,2.00,1.54,-12.75,507
3733434,2.15,0.56,-9.42,507
3734461,1.21,-0.26,-7.99,507
3735487,2.18,0.94,-8.88,506
3736514,0.39,2.44,-13.26,507
3737541,1.18,-0.22,-13.26,507
3738568,0.84,1.73,-11.78,507
3739595,0.09,0.56,-11.86,507
3740622,0.17,1.09,-6.75,507
3741649,1.29,0.98,-9.77,507
3742676,0.13,0.53,-11.48,507
3743704,0.88,1.39,-10.51,507
3744731,0.32,0.53,-8.46,507
3745764,0.73,0.08,-11.24,507
3746791,1.10,0.45,-12.06,507
3747818,0.17,0.87,-11.05,507
3748845,1.55,0.87,-11.24,507
3749872,0.43,0.53,-11.24,507
3750899,0.84,0.90,-10.35,507
3751926,0.80,0.08,-7.72,507
3752953,1.18,1.17,-9.66,506
3753980,0.80,0.60,-12.21,507
3755008,0.28,0.26,-9.31,506
3756035,0.62,0.94,-11.55,506
3757062,0.76,-0.07,-12.33,507
3758089,1.74,0.79,-12.44,507
3759143,0.62,0.38,-10.24,507
3760171,1.06,0.68,-9.50,507
3761198,0.99,0.38,-9.89,507
3762225,0.99,1.05,-10.74,507
3763258,1.51,0.30,-10.86,507
3764296,0.88,0.15,-8.15,507
3765323,0.17,0.98,-13.26,506
3766350,0.88,1.13,-11.05,507
3767377,1.36,1.84,-10.93,507
3768404,1.96,0.83,-11.98,507
3769431,0.13,0.53,-9.81,506
3770458,0.62,1.17,-10.66,507
3771485,0.76,0.72,-10.24,507
3772512,0.47,0.94,-8.38,507
3773539,0.80,1.20,-8.88,507
3774566,0.91,0.23,-12.52,507
3775593,1.33,1.09,-13.02,507
3776620,1.10,-0.56,-9.11,507
3777647,0.17,0.41,-8.65,507
3778674,0.62,2.07,-10.20,507
3779701,1.25,-1.05,-12.09,507
3780734,0.20,1.80,-11.75,507
3781762,0.65,0.56,-9.31,507
3782789,0.62,-0.67,-8.84,507
3783816,0.65,1.47,-10.89,506
3784843,0.69,0.49,-10.97,506
3785869,1.06,0.38,-12.64,506
3786896,0.95,1.09,-11.63,506
3787923,0.58,-0.04,-9.08,507
3788950,0.69,1.32,-10.04,507
3789977,0.62,0.83,-11.55,507
3791004,0.50,1.20,-13.41,507
3792031,0.73,0.56,-13.29,506
3793058,1.40,0.38,-10.39,506
3794085,0.95,0.72,-10.78,507
3795112,0.17,1.32,-12.37,507
3796140,1.10,-0.98,-13.29,507
3797167,1.89,1.58,-10.97,506
3798200,1.47,0.56,-8.57,507
3799227,0.91,0.04,-8.38,507
3800254,1.81,0.56,-10.78,506
3801281,1.03,0.26,-11.78,507
3802308,-0.17,0.08,-9.27,507
3803335,0.17,0.08,-9.54,507
3804362,0.84,0.56,-10.00,507
3805389,0.80,0.68,-11.36,507
3806416,0.17,0.30,-11.17,507
3807443,0.84,1.09,-10.08,507
3808471,0.91,0.26,-10.24,507
3809498,0.20,0.90,-10.16,507
3810524,1.06,-0.04,-11.13,507
3811551,0.73,0.94,-11.98,507
3812578,0.32,-0.30,-10.28,507
3813617,0.95,1.09,-9.97,507
3814644,1.59,0.94,-13.10,507
3815677,1.25,1.95,-12.13,507
3816705,0.73,0.90,-10.51,507
3817732,1.70,0.30,-12.33,507
3818759,1.29,-1.58,-14.34,507
3819786,1.59,1.69,-14.11,507
3820813,0.62,0.11,-13.02,506
3821840,0.24,0.83,-12.60,506
3822867,1.92,-0.67,-14.92,506
3823894,1.36,0.83,-12.13,506
3824921,0.13,0.08,-10.16,506
3825948,-0.02,-1.13,-6.68,507
3826975,0.99,-0.04,-8.38,506
3828002,-0.47,0.53,-10.28,507
3829029,1.40,0.08,-12.06,506
3830056,1.40,1.24,-11.86,507
3831084,0.05,-0.19,-11.86,507
3832111,1.06,0.94,-10.39,507
3833156,0.73,0.08,-8.80,506
3834183,0.47,1.24,-9.81,507
3835210,0.20,0.79,-11.48,506
3836253,1.74,1.09,-11.01,507
3837280,1.44,0.75,-11.94,507
3838307,1.10,1.50,-13.18,507
3839334,0.91,0.04,-11.36,506
3840361,0.20,-0.07,-6.72,507
3841399,0.73,1.77,-14.11,507
3842426,1.51,0.64,-12.25,506
3843453,0.88,1.35,-10.31,506
3844481,0.88,0.08,-12.13,506
3845508,0.88,1.02,-10.93,506
3846535,1.29,0.30,-10.28,506
3847561,1.40,0.79,-18.13,507
3848588,1.06,1.20,-10.86,507
3849615,1.36,0.64,-11.32,507
3850642,1.06,1.73,-11.17,507
3851668,0.62,1.99,-11.94,507
3852695,0.80,-1.01,-7.72,507
3853722,0.20,-0.75,-7.22,507
3854749,1.10,2.52,-11.59,507
3855776,0.17,0.08,-14.03,507
3856803,0.58,0.60,-11.67,506
3857829,0.13,1.69,-9.93,506
3858856,0.84,-0.64,-11.59,507
3859884,0.73,2.56,-13.41,506
3860911,0.65,1.05,-12.06,507
3861938,1.06,1.13,-11.13,506
3862965,1.03,-0.07,-9.69,507
3863992,1.85,2.52,-11.86,507
3865019,0.84,0.34,-9.15,507
3866046,1.14,0.94,-8.65,507
3867073,1.18,1.77,-6.83,507
3868100,1.51,2.67,-9.58,507
3869144,2.18,-0.64,-12.25,506
3870171,0.73,3.12,-14.03,507
3871198,0.91,-0.86,-10.24,507
3872225,0.20,0.68,-6.37,507
3873251,1.21,3.04,-14.46,507
3874278,1.66,-0.52,-13.41,506
3875305,0.84,2.52,-12.06,506
3876332,0.80,-0.49,-10.47,507
3877359,1.14,1.17,-10.12,507
3878386,0.88,1.58,-11.17,506
3879413,0.17,-0.90,-9.69,507
3880440,1.21,2.63,-11.86,507
3881467,0.24,-0.67,-10.43,507
3882494,0.20,1.47,-10.39,506
3883522,1.21,1.50,-10.35,506
3884549,0.69,-0.15,-11.67,507
3885576,0.91,1.20,-13.10,507
3886609,1.18,0.08,-8.77,507
3887635,0.28,0.08,-9.11,506
3888662,1.85,1.24,-12.44,506
3889689,1.18,0.98,-13.26,507
3890716,0.88,0.08,-9.89,507
3891743,-0.06,0.68,-10.55,507
3892770,1.47,1.20,-15.38,507
3893797,0.69,0.41,-11.44,507
3894824,1.10,0.75,-8.42,507
3895852,1.36,0.72,-13.84,506
3896878,0.17,1.84,-18.75,506
3897905,1.14,1.24,-11.32,506
3898944,0.95,1.05,-8.50,507
3899971,1.96,2.74,-21.54,507
3900998,1.62,0.41,-12.98,506
3902025,0.99,1.32,-7.72,507
3903051,0.95,1.28,-12.25,507
3904084,1.29,1.32,-18.29,507
3905124,0.24,2.48,-15.85,506
3906151,1.59,0.45,-13.14,507
3907178,-0.06,1.58,-10.86,507
3908205,1.89,-1.09,-14.46,507
3909232,1.44,-0.11,-15.38,506
3910259,2.67,3.08,-14.03,506
3911286,0.35,-1.73,-11.01,507
3912313,1.47,2.71,-14.46,507
3913356,-0.51,-0.98,-11.28,506
3914383,2.03,2.78,-12.40,506
3915410,2.03,-0.22,-16.08,506
3916437,2.07,2.93,-14.18,506
3917464,0.05,0.00,-8.53,507
3918491,0.05,0.79,-8.03,507
3919529,-0.88,1.13,-13.99,507
3920557,0.09,2.18,-17.78,507
3921590,0.43,-0.82,-10.20,506
3922617,0.17,0.34,-7.99,507
3923644,0.17,0.79,-15.35,507
3924670,1.10,1.50,-18.29,507
3925697,0.80,0.04,-8.11,507
3926724,1.66,2.48,-9.04,506
3927751,1.40,-1.65,-12.64,506
3928778,1.36,1.24,-15.31,507
3929805,0.05,1.65,-10.16,506
3930832,0.02,1.24,-7.26,507
3931859,1.59,0.00,-12.33,507
3932887,1.92,3.16,-18.33,506
3933914,1.62,0.23,-12.02,506
3934941,0.35,2.41,-12.91,506
3935968,4.61,2.93,-14.92,507
3936994,-0.17,0.00,-11.71,506
3938021,2.67,1.65,-13.14,507
3939054,2.15,0.00,-16.08,507
3940081,-0.21,3.34,-13.18,507
3941108,2.41,-0.19,-11.24,507
3942135,0.17,4.58,-13.80,507
3943162,2.56,2.22,-15.23,507
3944189,2.03,0.08,-11.75,506
3945217,0.95,1.77,-10.20,506
3946244,0.88,1.32,-15.89,507
3947271,0.73,4.81,-17.28,507
3948298,1.62,-0.07,-11.63,506
3949325,2.11,1.99,-9.23,506
3950352,1.62,0.08,-12.98,507
3951378,0.95,2.82,-14.53,507
3952405,1.18,-0.94,-9.73,506
3953432,1.70,0.08,-10.00,506
3954459,1.29,0.00,-15.65,507
3955486,1.74,2.97,-16.47,506
3956519,1.10,0.08,-8.84,506
3957547,1.10,-0.41,-8.26,506
3958574,1.85,0.60,-9.81,507
3959601,0.58,0.30,-13.26,506
3960628,1.25,1.02,-12.52,507
3961654,1.40,1.20,-11.55,506
3962681,0.35,-0.56,-9.54,506
3963708,0.17,1.39,-10.74,506
3964735,1.96,0.56,-14.61,507
3965762,0.91,2.37,-15.96,507
3966789,0.05,0.53,-10.39,507
3967816,0.99,2.97,-13.91,506
3968843,0.17,0.15,-14.88,506
3969870,1.66,1.05,-11.44,506
3970897,1.10,0.08,-6.33,507
3971923,1.14,0.75,-8.03,506
3972951,1.66,1.32,-15.31,506
3973984,1.10,1.28,-15.35,507
3975011,0.05,0.90,-8.19,506
3976038,0.17,-0.07,-9.11,507
3977065,0.88,0.87,-8.84,506
3978092,1.40,1.28,-13.33,506
3979130,0.62,0.68,-12.02,507
3980157,1.55,0.08,-14.65,506
3981185,0.17,-0.34,-11.51,507
3982212,1.03,0.45,-9.81,506
3983251,0.84,0.08,-8.69,506
3984278,1.33,1.09,-11.75,506
3985304,1.06,0.98,-14.53,507
3986331,1.44,0.75,-12.83,507
3987358,0.95,0.87,-8.34,507
3988385,1.14,1.17,-10.35,507
3989412,1.85,1.39,-18.36,506
3990455,0.76,1.13,-10.93,507
3991488,1.44,1.99,-10.47,506
3992515,0.69,0.38,-15.89,506
3993542,0.17,0.75,-13.76,506
3994569,1.51,1.47,-9.54,506
3995608,1.03,0.04,-9.19,506
3996635,1.21,1.80,-15.11,506
3997662,1.29,-0.26,-13.45,506
3998689,0.73,0.08,-7.80,506
3999715,1.36,1.99,-9.58,506
4000742,0.09,0.08,-14.11,507
4001769,0.58,1.20,-11.67,506
4002796,0.24,0.08,-7.37,506
4003823,0.50,0.90,-12.64,507
4004850,0.95,0.19,-16.12,506
4005877,1.06,0.83,-10.08,506
4006903,0.76,1.17,-8.38,507
4007930,0.35,-0.90,-14.61,507
4008964,1.70,1.39,-19.02,506
4009991,1.85,1.47,-11.20,506
4011018,0.17,1.50,-5.79,507
4012045,4.09,-0.52,-16.97,506
4013072,3.64,3.50,-20.92,506
4014099,0.09,-0.45,-8.57,506
4015126,0.17,0.83,-8.30,506
4016152,1.70,0.08,-16.00,506
4017179,1.62,2.93,-12.25,506
4018206,0.88,-0.34,-7.02,506
4019233,0.80,-0.11,-10.12,506
4020260,0.88,2.48,-14.34,506
4021287,0.47,-0.71,-11.28,506
