time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
163018,0.91,1.35,-9.62,509
164042,0.88,1.32,-9.62,509
165066,0.91,1.32,-9.62,509
166090,0.88,1.35,-9.58,509
167114,0.88,1.35,-9.62,509
168138,0.95,1.32,-9.58,509
169162,0.91,1.32,-9.54,509
170186,0.91,1.35,-9.66,509
171210,0.91,1.35,-9.62,509
172235,0.91,1.28,-9.62,509
173259,0.91,1.32,-9.58,509
174283,0.91,1.32,-9.85,509
175306,0.91,1.35,-9.66,509
176330,0.88,1.35,-9.58,509
177354,0.88,1.32,-9.58,509
178378,0.95,1.32,-9.62,509
179402,0.91,1.35,-9.62,509
180426,0.91,1.32,-9.58,509
181450,0.95,1.35,-9.58,509
182474,0.91,1.32,-9.58,509
183498,0.91,1.28,-9.54,509
184522,0.95,1.17,-9.62,509
185546,0.95,1.39,-9.62,509
186570,0.91,1.35,-9.62,509
187594,0.91,1.35,-9.58,509
188619,0.91,1.35,-9.54,509
189643,0.91,1.32,-9.54,509
190667,0.91,1.39,-9.66,509
191691,0.91,1.35,-9.62,509
192715,0.91,1.32,-9.62,509
193745,0.91,1.32,-9.62,509
194769,0.91,1.35,-9.46,509
195805,0.88,1.47,-9.46,509
196829,0.91,1.32,-9.58,509
197854,0.95,1.32,-9.62,509
198890,0.91,1.32,-9.58,509
199914,0.95,1.35,-9.54,509
200938,0.91,1.35,-9.62,509
201962,0.91,1.39,-9.58,509
202986,0.95,1.32,-9.66,509
204010,0.91,1.28,-9.62,509
205034,0.95,1.35,-9.62,509
206058,0.91,1.35,-9.69,509
207082,0.95,1.32,-9.62,509
208106,0.91,1.32,-9.62,509
209130,0.91,1.35,-9.62,509
210155,0.95,1.32,-9.62,509
211179,0.95,1.28,-9.62,509
212207,0.95,1.32,-9.62,509
213231,0.88,1.32,-9.62,509
214270,0.91,1.35,-9.62,509
215294,0.91,1.35,-9.62,509
216318,0.88,1.32,-9.62,509
217342,0.91,1.35,-9.66,509
218368,0.91,1.32,-9.62,509
219403,0.95,1.32,-9.62,509
220427,0.95,1.35,-9.62,509
221451,7.57,1.17,-6.52,509
222475,6.22,1.17,-7.02,509
223499,6.00,1.32,-7.84,509
224523,6.89,1.17,-6.56,509
225547,6.86,1.35,-7.02,509
226571,1.14,2.56,-9.73,509
227595,0.91,1.35,-9.66,509
228619,0.95,1.28,-9.66,509
229643,0.91,1.35,-9.58,509
230673,0.95,1.35,-9.62,509
231698,0.91,1.39,-9.62,509
232722,0.88,1.39,-9.66,509
233746,0.91,1.32,-9.35,509
234770,0.91,1.35,-9.62,509
235795,0.91,1.35,-9.66,509
236819,0.95,1.35,-9.58,509
237843,0.91,1.35,-9.58,509
238867,0.95,1.35,-9.62,509
239892,0.91,1.35,-9.62,509
240916,0.91,1.32,-9.66,509
241940,0.88,1.39,-9.39,509
242965,0.91,1.32,-9.69,509
243989,0.88,1.35,-9.58,509
245013,0.91,1.28,-9.66,509
246037,0.95,1.35,-9.62,509
247061,0.91,1.35,-9.66,509
248086,0.91,1.35,-9.62,509
249110,0.95,1.32,-9.58,509
250140,0.95,1.28,-9.58,509
251164,0.91,1.35,-9.58,509
252189,0.91,1.35,-9.62,509
253213,0.95,1.35,-9.58,509
254237,0.91,1.35,-9.62,509
255261,0.95,1.43,-9.89,509
256286,0.91,1.32,-9.54,509
257310,0.91,1.39,-9.62,509
258334,0.91,1.35,-9.58,509
259358,0.95,1.35,-9.66,509
260383,0.91,1.39,-9.58,509
261407,0.95,1.35,-9.58,509
262431,0.91,1.35,-9.62,509
263455,0.95,1.35,-9.62,509
264480,0.91,1.28,-9.46,509
265504,0.91,1.32,-9.58,509
266528,0.91,1.32,-9.62,509
267552,0.91,1.35,-9.62,509
268583,0.91,1.39,-9.62,509
269607,0.91,1.35,-9.50,509
270631,0.95,1.35,-9.66,509
271655,0.91,1.35,-9.62,509
272692,0.91,1.32,-9.50,509
273717,0.95,1.35,-9.62,509
274741,0.95,1.32,-9.62,509
275765,0.91,1.35,-9.62,509
276789,0.91,1.32,-9.62,509
277814,0.88,1.39,-9.62,509
278838,0.95,1.32,-9.69,509
279874,0.91,1.28,-9.66,509
280898,0.95,1.32,-9.58,509
281922,0.88,1.28,-9.54,509
282946,0.95,1.35,-9.62,509
283971,0.91,1.32,-9.62,509
284995,0.95,1.32,-9.54,509
286019,0.95,1.35,-9.58,509
287049,0.91,1.39,-9.58,509
288073,0.95,1.35,-9.50,509
289098,0.95,1.35,-9.66,509
290122,0.91,1.35,-9.66,509
291162,0.95,1.32,-9.66,509
292187,0.95,1.39,-9.58,509
293211,0.91,1.39,-9.66,509
294235,0.95,1.35,-9.54,509
295259,0.91,1.35,-9.58,509
296295,0.95,1.32,-9.54,509
297319,0.99,1.35,-9.62,509
298343,0.95,1.35,-9.62,509
299368,0.91,1.35,-9.66,509
300392,0.91,1.35,-9.58,509
301416,0.91,1.39,-9.62,509
302440,0.88,1.39,-9.62,509
303464,0.91,1.39,-9.66,509
304489,0.95,1.39,-9.54,509
305513,0.91,1.35,-9.46,509
306536,0.91,1.39,-9.62,509
307560,0.91,1.32,-9.62,509
308584,0.95,1.32,-9.58,509
309608,0.91,1.39,-9.62,509
310633,0.91,1.32,-9.69,509
311657,0.95,1.32,-9.62,509
312681,0.88,1.35,-9.62,509
313705,0.95,1.32,-9.62,509
314730,0.95,1.39,-9.50,509
315754,0.91,1.35,-9.62,509
316778,0.91,1.35,-9.58,509
317802,0.91,1.35,-9.50,509
318827,0.91,1.39,-9.58,509
319851,0.95,1.39,-9.58,509
320875,0.95,1.32,-9.62,509
321899,0.95,1.32,-9.66,509
322924,0.88,1.35,-9.66,509
323948,0.95,1.39,-9.62,509
324978,0.91,1.35,-9.66,509
326002,0.91,1.35,-9.66,509
327026,0.91,1.32,-9.62,509
328051,0.91,1.35,-9.62,509
329075,0.91,1.32,-9.66,509
330099,0.99,1.32,-9.62,509
331123,0.95,1.39,-9.62,509
332148,0.91,1.32,-9.54,509
333172,0.95,1.35,-9.81,509
334196,0.91,1.32,-9.58,509
335220,0.91,1.43,-9.58,509
336244,0.84,1.39,-9.62,509
337269,0.91,1.32,-9.62,509
338293,0.95,1.32,-9.58,509
339317,0.95,1.35,-9.62,509
340341,0.91,1.32,-9.62,509
341365,0.91,1.35,-9.62,509
342390,0.91,1.32,-9.62,509
343420,0.91,1.35,-9.58,509
344444,0.91,1.39,-9.62,509
345468,0.95,1.32,-9.69,509
346505,0.91,1.32,-9.69,509
347530,0.91,1.32,-9.62,509
348554,0.91,1.32,-9.62,509
349578,0.91,1.35,-9.66,509
350602,0.95,1.35,-9.62,509
351626,0.95,1.35,-9.66,509
352651,0.95,1.32,-9.62,509
353675,0.91,1.43,-9.62,509
